video_id,channel_id,channel_name,title,published_at,duration,view_count,like_count,comment_count
n4ivsdzZow4,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新11月]  13間銀行港元定期存款趨勢| #被動收入不求人,2025-11-02T03:00:06Z,PT8M28S,8705,131,2
72vL_7-XFHA,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,虛擬銀行定存【最高 4.99%】利息大比拼！$1萬蚊都可以收息？| 最新活期/定期存款優惠總整理 10月2025,2025-10-19T01:00:26Z,PT9M4S,503,10,2
Cy_MPMl2Na8,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新2025年10月] 美元定期存款比較 #被動收入【10月更新】美元定期存款銀行利率全攻略：Fed動向、匯率分析、銀行優惠總整,2025-10-10T01:00:28Z,PT10M54S,1011,28,0
b3Rh_hnIwMw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新10月]  13間銀行港元定期存款趨勢| #被動收入不求人,2025-10-05T02:00:06Z,PT9M21S,7520,111,1
TGTe9H0ZXO4,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,【交易聖經揭秘】《海龜交易法則》四大核心精華！19歲少年如何用紀律賺進80%年化報酬？,2025-09-24T12:00:58Z,PT12M55S,199,5,0
SfmB5nbRsxA,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,銀色債券2025攻略,2025-09-18T07:00:23Z,PT5M48S,442,8,0
bS1sfmFE5vw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,【美元定存】9月美元定期存款4厘息守唔住？一文看清15間銀行最新利率！,2025-09-11T10:01:00Z,PT10M59S,2077,40,0
xewof_jui1M,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,🚨 港元定期存存利率反彈？9月各銀行利率速報！未來3次開會減2次息？,2025-09-04T11:01:43Z,PT10M7S,2871,56,1
7BGLrzkdR74,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[收息股系列2] 高息銀行股深入研究，入市的最佳位置？盈利爆發的魔咒？,2025-08-27T13:00:10Z,PT28M34S,4498,94,1
CnNsGgR9K_A,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,"[收息股系列] 高息行業比較, 基礎概念ABC",2025-08-17T12:00:19Z,PT17M1S,2095,104,1
tSPkn7VXPVE,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[8月]最新英國高息定期存款,2025-08-14T07:30:23Z,PT6M44S,600,18,0
HqU-shExPkU,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,【美元定存】8月美元定期存款仲有冇高息？一文看清15間銀行最新利率！,2025-08-07T12:00:38Z,PT11M28S,7521,152,4
QMbQMoC3N3o,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,【8月銀行定期存款攻略】美國非農數據爆冷！9月降息預期飆升,2025-08-02T11:30:17Z,PT12M21S,9803,140,3
cry3eE4HbA0,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,【獨家解讀】巴菲特2025股東信！為何他總能戰勝市場？｜巴郡成功關鍵大剖析,2025-07-26T11:01:05Z,PT21M24S,526,15,0
scF_p2X4aZM,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,【7月更新】美元定期存款銀行利率全攻略：Fed動向、匯率分析、銀行優惠總整理,2025-07-18T13:01:51Z,PT11M51S,3720,59,4
7j9Jcye5Gkw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[完] 花園大改造 part 6,2025-07-15T11:00:14Z,PT11M11S,241,11,3
1HdfJET6r0w,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,7月限定！虛擬銀行高息定存全攻略：Mox獨家優惠曝光！,2025-07-09T11:00:09Z,PT9M11S,1619,20,1
uDuSCpyfZ70,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,🚨 港元定存低處未算低？7月各銀行利率速報！聯儲局降息預期有變？,2025-07-03T11:01:40Z,PT12M49S,21776,249,7
P2lrkEXS9sw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,《GENIUS Act》重磅通過！穩定幣的黃金時代來了？投資者必看新格局！,2025-06-28T11:00:43Z,PT9M57S,207,8,1
LB3FXX0l9Ts,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,英國定存利率大公開！最高利率銀行比較，教你輕鬆賺利息！,2025-06-23T16:00:36Z,PT8M3S,1462,32,2
C_gN03WzADM,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,獨家解析鮑威爾：他為何對「滯脹」如此擔憂？,2025-06-19T06:00:07Z,PT9M2S,208,13,0
dOrQuvRpEIk,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,股市遇戰爭是末日？歷史數據揭密驚人真相！戰火下竟是黃金機會？,2025-06-18T06:00:34Z,PT8M48S,215,12,2
0uok_rOrUCI,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,2025年6月美元定存大比拼！邊間銀行利率最高？,2025-06-11T06:00:01Z,PT9M52S,4749,79,4
-p46GhjVnoY,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,6月港元定期存款比較：銀行利率大縮水，投資者何去何從？,2025-06-05T02:00:01Z,PT9M12S,32519,370,13
VSBij6djzcw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,花園大改造part 5,2025-05-27T11:00:32Z,PT8M9S,378,10,9
ELEigjgPIAw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,英國花園改造實戰：DIY鋪磚/人造草流程、材料、注意事項全解析！,2025-05-18T11:00:32Z,PT11M2S,2117,44,2
kxS7Z6S_W_o,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新2025年5月] 美元定期存款比較 #被動收入,2025-05-10T12:00:06Z,PT11M18S,4165,77,1
K5y_VDuHbyc,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新5月]  13間銀行港元定期存款趨勢| #被動收入不求人,2025-05-05T11:00:36Z,PT8M48S,19302,223,8
hB9xEs2taYY,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[經典投資書系列] The intelligent investor 聰明的投資者 Benjamin Graham,2025-04-29T11:01:09Z,PT19M7S,312,6,0
J1RhjE0qkIE,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,花園大改造part 4,2025-04-23T16:57:44Z,PT13M58S,907,18,6
Xoi4QRfCgRY,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新2025年4月] 美元定期存款比較 #被動收入 #減息周期開始？,2025-04-16T13:45:06Z,PT11M43S,2969,69,1
Z3Q5fo7vI2w,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新5月]  13間銀行港元定期存款趨勢| #被動收入不求人,2025-04-06T09:45:06Z,PT11M39S,8000,117,0
SIKqptWUvfE,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,花園大改造part 3,2025-03-30T11:00:28Z,PT9M40S,434,13,6
w3mhdhChjDw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,花園大改造part 2,2025-03-23T14:00:06Z,PT8M56S,499,9,2
1WsAovrAx0c,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[3月份] 英國最新銀行定期存款比較,2025-03-17T17:00:06Z,PT8M3S,1943,65,1
MKMdHx6dRyk,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新2025年3月] 美元定期存款比較 #被動收入,2025-03-11T11:00:27Z,PT12M47S,1820,40,0
O8AhOERZY0E,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新3月]  13間銀行港元定期存款趨勢| #被動收入不求人,2025-03-06T07:47:30Z,PT12M18S,8347,141,3
QYwIYqzf0EA,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,"高息[英國]小額定期存款全比較, 最高7厘息!!!",2025-02-23T08:00:29Z,PT8M8S,5730,153,6
EEfSG4FhbJ8,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,英國賣樓攻略,2025-02-14T11:00:31Z,PT21M31S,986,50,8
mVSK0ixfyVw,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[最新2025年2月] 美元定期存款比較 #被動收入,2025-02-06T11:01:07Z,PT11M32S,7435,120,3
YwQ8MUirHIs,UCFfbH3zDLa47d4nfotQ349Q,投資最容易,[恭喜發財2月]  13間銀行港元定期存款趨勢| #被動收入不求人,2025-02-03T12:00:44Z,PT9M4S,29308,376,13
